restaurant,name,price,type,image
Tokio,Tonkotsu,1400,ramen,https://s3-media2.fl.yelpcdn.com/bphoto/eMmvwCMQtOUs7GxccJu4zA/o.jpg
Corner Ramen,Tonkotsu,1500,ramen,https://s3-media3.fl.yelpcdn.com/bphoto/QwiPN5PjNzJNb5DXTkiGrQ/o.jpg
Kyoto Ramen,Tonkotsu,1100,ramen,"https://static.wixstatic.com/media/52f6d0_d19735a7d3bc41e5966478b3d6704824~mv2_d_4933_3289_s_4_2.jpg/v1/fill/w_1960,h_1120,al_c,q_90,usm_0.66_1.00_0.01/52f6d0_d19735a7d3bc41e5966478b3d6704824~mv2_d_4933_3289_s_4_2.webp"
Tycoon Ramen and Sushi,Tonkotsu,1400,ramen,https://s3-media3.fl.yelpcdn.com/bphoto/Wv2kkD1X48OL-jKgTLUojw/o.jpg
Osaka,Tonkotsu,1400,ramen,https://s3-media4.fl.yelpcdn.com/bphoto/VZcQsIvJy-Sx1g_52KI6rA/o.jpg
Osaka,Shoyu,1400,ramen,https://s3-media3.fl.yelpcdn.com/bphoto/hgVycMdM7wqzE0qqkP7Z9w/o.jpg
Tokio,Shoyu,1300,ramen,https://s3-media3.fl.yelpcdn.com/bphoto/mrqOZ_4ev2UhJWlcUEzVHg/o.jpg
Domo,Shoyu,unknown,ramen,https://s3-media1.fl.yelpcdn.com/bphoto/Ef-ipYBVtthPvgkT-Sx26g/o.jpg
iFish+Ramen,Shoyu,1295,ramen,"https://assets.bonappetit.com/photos/57ae038653e63daf11a4e122/16:9/w_1000,c_limit/shoyu-ramen.jpg"
Obento,Shoyu,945,ramen,https://s3-media4.fl.yelpcdn.com/bphoto/_QbXb2scWldTKBPrOObx7g/o.jpg
Tycoon Ramen and Sushi,Shoyu,1200,ramen,https://s3-media1.fl.yelpcdn.com/bphoto/J9_3r7QRUG2vy0MTcP25WQ/o.jpg
Osaka,Miso,1400,ramen,https://s3-media3.fl.yelpcdn.com/bphoto/Q4Fj9teq_jwHwZ_OgXC5Bg/o.jpg
Ramen Star,Miso,1350,ramen,https://s3-media3.fl.yelpcdn.com/bphoto/HttgXjvENTITjtz4A4EE8A/o.jpg
Mizu Izakaya,Miso,1500,ramen,https://s3-media4.fl.yelpcdn.com/bphoto/SArvq7e-mBM1ElNpKnecPA/o.jpg
Tokio,Miso,1100,ramen,https://s3-media4.fl.yelpcdn.com/bphoto/NzCFOr94zjfiR59mpeWDHA/o.jpg
Corner Ramen,Miso,1500,ramen,https://s3-media2.fl.yelpcdn.com/bphoto/UhnN0QZ_Er1O6GMMmyHUgg/o.jpg
Tycoon Ramen and Sushi,Miso,1200,ramen,https://s3-media3.fl.yelpcdn.com/bphoto/UZTVaZgrGHtwzbnPMleR_g/o.jpg